Viral dynamics in human immunodeficiency virus type 1 infection;3660
Fast folding and comparison of RNA secondary structures;2279
Quantitation of HIV-1-specific cytotoxic T lymphocytes and plasma load of viral RNA;1580
Viral dynamics in hepatitis B virus infection;924
Analysis of total human immunodeficiency virus (HIV)-specific CD4+ and CD8+ T-cell responses: relationship to viral load in untreated HIV infection;754
Cooperation and competition in the evolution of ATP-producing pathways;732
Virus dynamics and drug therapy;507
Spatial games and the maintenance of cooperation;430
Evaluating treatment protocols to prevent antibiotic resistance;404
Rapid production and clearance of HIV-1 and hepatitis C virus assessed by large volume plasma apheresis;400
Decay kinetics of human immunodeficiency virus-specific effector cytotoxic T lymphocytes after combination antiretroviral therapy;373
Dendritic cells as initiators of tumor immune responses: a possible strategy for tumor immunotherapy?;370
Viral dynamics in vivo: limitations on estimates of intracellular delay and virus decay;360
Rapid turnover of T lymphocytes in SIV-infected rhesus macaques;319
More spatial games;300
HIV-1–specific immune responses in subjects who temporarily contain virus replication after discontinuation of highly active antiretroviral therapy;261
HIV-1 antigen–specific and–nonspecific B cell responses are sensitive to combination antiretroviral therapy;251
Anti-viral drug treatment: dynamics of resistance in free virus and infected cell populations;251
Evidence for positive epistasis in HIV-1;232
Population biology, evolution, and infectious disease: convergence and synthesis;232
The virological and immunological consequences of structured treatment interruptions in chronic HIV-1 infection;211
Production of resistant HIV mutants during antiretroviral therapy;197
Human immunodeficiency virus drug therapy and virus load.;196
The HIV coreceptor switch: a population dynamical perspective;181
Causes of HIV diversity;176
Temporal analyses of virus replication, immune responses, and efficacy in rhesus macaques immunized with a live, attenuated simian immunodeficiency virus vaccine;173
Emergence of drug-resistant influenza virus: population dynamical considerations;171
Dynamic variation in cycling of hematopoietic stem cells in steady state and inflammation;170
Structured antiretroviral treatment interruptions in chronically HIV-1-infected subjects;166
Emergence of minor populations of human immunodeficiency virus type 1 carrying the M184V and L90M mutations in subjects undergoing structured treatment interruptions;149
Experimental tests for an evolutionary trade-off between growth rate and yield in E. coli;137
An evolutionary scenario for the transition to undifferentiated multicellularity;137
Risks and benefits of structured antiretroviral drug therapy interruptions in HIV-1 infection;134
Evolution of cooperation by generalized reciprocity;132
Evolution of virulence in a heterogeneous host population;131
Mutation and the evolution of virulence;123
Population biological principles of drug-resistance evolution in infectious diseases;122
Evolution of cross-feeding in microbial populations;122
The frequency of resistant mutant virus before antiviral therapy;122
Epistasis between deleterious mutations and the evolution of recombination;120
A systems analysis of mutational effects in HIV-1 protease and reverse transcriptase;116
The state of affairs in the kingdom of the Red Queen;115
Molecular epidemiology reveals long-term changes in HIV type 1 subtype B transmission in Switzerland;114
The evolution of connectivity in metabolic networks;114
Birth–death skyline plot reveals temporal changes of epidemic spread in HIV and hepatitis C virus (HCV);111
Viral quasi-species and recombination;109
Virulence and pathogenesis of HIV-1 infection: an evolutionary perspective;108
Estimating the basic reproductive number from viral sequence data;108
Dose–dependent infection rates of parasites produce the Allee effect in epidemiology;106
The effect of opinion clustering on disease outbreaks;99
Recombination in HIV and the evolution of drug resistance: for better or for worse?;94
Rapid clearance of simian immunodeficiency virus particles from plasma of rhesus macaques;94
Ambiguous nucleotide calls from population-based sequencing of HIV-1 are a marker for viral diversity and the age of infection;91
RNA multi-structure landscapes;90
Quantification of cell turnover kinetics using 5-bromo-2′-deoxyuridine1;87
Stochastic or deterministic: what is the effective population size of HIV-1?;86
Compensation of fitness costs and reversibility of antibiotic resistance mutations;85
The curse of the pharaoh: the evolution of virulence in pathogens with long living propagules;85
Estimating the stoichiometry of human immunodeficiency virus entry;84
Phylogenetic approach reveals that virus genotype largely determines HIV set-point viral load;82
Stochastic interplay between mutation and recombination during the acquisition of drug resistance mutations in human immunodeficiency virus type 1;81
Quantification of infectious HIV-1 plasma viral load using a boosted in vitro infection protocol;77
Evolution of complexity in signaling pathways;75
Intra-host versus inter-host selection: viral strategies of immune function impairment;74
Spatial models of virus-immune dynamics;73
High frequency of cytomegalovirus-specific cytotoxic T-effector cells in HLA-A* 0201-positive subjects during multiple viral coinfections;73
The evolution of groups of cooperating bacteria and the growth rate versus yield trade-off;71
Error thresholds on correlated fitness landscapes;68
Exploring the complexity of the HIV-1 fitness landscape;66
Interchromatid and interhomolog recombination in Arabidopsis thaliana;66
Inferring epidemic contact structure from phylogenetic trees;63
Stable virulence levels in the HIV epidemic of Switzerland over two decades;59
Uncovering epidemiological dynamics in heterogeneous host populations using phylogenetic methods;57
Phenotypic changes in drug susceptibility associated with failure of human immunodeficiency virus type 1 (HIV-1) triple combination therapy;57
Long-term trends of HIV type 1 drug resistance prevalence among antiretroviral treatment–experienced patients in Switzerland;56
Quantification of in vivo replicative capacity of HIV-1 in different compartments of infected cells.;56
HIV results in the frame;55
Glancing behind virus load variation in HIV-1 infection;54
Rapid parasite adaptation drives selection for high recombination rates;53
The role of migration and domestic transmission in the spread of HIV-1 non-B subtypes in Switzerland;52
On the evolution of claustral colony founding in ants;52
Procedures for reliable estimation of viral fitness from time-series data;52
Simulating the evolution of signal transduction pathways;51
Effect of varying epistasis on the evolution of recombination;49
Passive infusion of immune serum into simian immunodeficiency virus-infected rhesus macaques undergoing a rapid disease course has minimal effect on plasma viremia;49
Antagonism between bacteriostatic and bactericidal antibiotics is prevalent;47
Entry and transcription as key determinants of differences in CD4 T-cell permissiveness to human immunodeficiency virus type 1 infection;47
Humoral immunity to HIV-1: kinetics of antibody responses in chronic infection reflects capacity of immune system to improve viral set point;45
Human immunodeficiency virus type 1 fitness is a determining factor in viral rebound and set point in chronic infection;45
Neutral drift and polymorphism in gene‐for‐gene systems;44
Virus evolution: the importance of being erroneous;41
A stochastic model for primary HIV infection: optimal timing of therapy;41
Eight challenges in phylodynamic inference;40
Using an epidemiological model for phylogenetic inference reveals density dependence in HIV transmission;40
No signs of hidden language in noncoding DNA;40
African descent is associated with slower CD4 cell count decline in treatment-naive patients of the Swiss HIV Cohort Study;39
Signal transduction networks: topology, response and biochemical processes;38
The effect of multifunctionality on the rate of evolution in yeast;38
The effect of population structure on the emergence of drug resistance during influenza pandemics;37
Spatial heterogeneity in drug concentrations can facilitate the emergence of resistance to cancer therapy;33
Coffee, caffeine, and risk of completed suicide: results from three prospective cohorts of American adults;33
Cycling empirical antibiotic therapy in hospitals: meta-analysis and models;33
Resistance to antimicrobial chemotherapy: a prescription for research and action;33
Evolution and emergence of infectious diseases in theoretical and real-world networks;32
Decelerating decay of latently infected cells during prolonged therapy for human immunodeficiency virus type 1 infection;32
Quantitative constraints on the scope of negative selection;31
Assessing predicted HIV-1 replicative capacity in a clinical setting;30
Residual viral replication during antiretroviral therapy boosts human immunodeficiency virus type 1-specific CD8+ T-cell responses in subjects treated early after infection;30
Reply-Robustness of cooperation;30
The path of least resistance: aggressive or moderate treatment?;29
The Red Queen and the persistence of linkage-disequilibrium oscillations in finite and infinite populations;29
The evolution of network topology by selective removal;29
Rapid viral decay in simian immunodeficiency virus-infected macaques receiving quadruple antiretroviral therapy;28
Mutation accumulation in space and the maintenance of sexual reproduction;28
Evolutionary consequences of tradeoffs between yield and rate of ATP production;27
Persistence of transmitted HIV-1 drug resistance mutations associated with fitness costs and viral genetic backgrounds;25
Evolution of stress response in the face of unreliable environmental signals;25
On the causes of selection for recombination underlying the Red Queen hypothesis;25
Can high-risk fungicides be used in mixtures without selecting for fungicide resistance?;23
The role of recombination for the coevolutionary dynamics of HIV and the immune response;23
Antibiotic-resistant Neisseria gonorrhoeae spread faster with more treatment, not more sexual partners;21
Evolutionary rescue: linking theory for conservation and medicine;21
Informed switching strongly decreases the prevalence of antibiotic resistance in hospital wards;21
Red Queen dynamics with non-standard fitness interactions;20
Modelling cytomegalovirus replication patterns in the human host: factors important for pathogenesis;20
The role of epistasis on the evolution of recombination in host–parasite coevolution;19
High epitope expression levels increase competition between T cells;19
Virus load and antigenic diversity;19
Pre-existence and emergence of drug resistance in a generalized model of intra-host viral dynamics;18
Recombination and drug resistance in HIV: population dynamics and stochasticity;18
Viral dynamics and in vivo fitness of HIV-1 in the presence and absence of enfuvirtide;18
Models of viral kinetics and drug resistance in HIV-1 infection;17
Contribution of recombination to the evolutionary history of HIV;16
Assessing the impact of adherence to anti-retroviral therapy on treatment failure and resistance evolution in HIV;16
On being the right size: the impact of population size and stochastic effects on the evolution of drug resistance in hospitals and the community;16
Molecular tracking of an human immunodeficiency virus nef specific cytotoxic T-cell clone shows persistence of clone-specific T-cell receptor DNA but not mRNA following early combination antiretroviral therapy;15
Recombination accelerates adaptation on a large-scale empirical fitness landscape in HIV-1;14
Contribution of peaks of virus load to simian immunodeficiency virus pathogenesis;14
Can live attenuated virus work as post-exposure treatment?;14
More spatial games;14
HIV replication elicits little cytopathic effects in vivo: analysis of surrogate markers for virus production, cytotoxic T cell response and infected cell death;13
Guanine–adenine bias: a general property of retroid viruses that is unrelated to host-induced hypermutation;13
HIV coreceptor usage and drug treatment;12
Explaining Linguistic Features of Noncoding DNA;12
Social meets molecular: combining phylogenetic and latent class analyses to understand HIV-1 transmission in Switzerland;11
Fixation probability of mobile genetic elements such as plasmids;11
Nested model reveals potential amplification of an HIV epidemic due to drug resistance;11
Weighting for sex acts to understand the spread of STI on networks;11
Estimating the fitness cost of escape from HLA presentation in HIV-1 protease and reverse transcriptase;11
Bacterial growth properties at low optical densities;11
Predicting the evolution of sex on complex fitness landscapes;11
Mathematical approaches in the study of viral kinetics and drug resistance in HIV-1 infection;11
Rotating antibiotics does not minimize selection for resistance;10
Comment on" Evidence for positive epistasis in HIV-1";10
Epitope down-modulation as a mechanism for the coexistence of competing T-cells;10
On the evolution of sexual reproduction in hosts coevolving with multiple parasites;9
Intra-host dynamics and evolution of HIV infections;8
CCTTT‐repeat polymorphism of the inducible nitric oxide synthase is not associated with HIV pathogenesis;8
Resistance to HIV-1 entry inhibitors may occur by multiple molecular mechanisms;8
The virological and immunological consequences of structured treatment interruptions in chronic HIV-1 infection. AIDS 15;8
Potential pitfalls in estimating viral load heritability;7
High heritability is compatible with the broad distribution of set point viral load in HIV carriers;7
Plasmids and evolutionary rescue by drug resistance;7
Principal component analysis of general patterns of HIV-1 replicative fitness in different drug environments;7
From “What Is?” to “What Isn't?” Computational Biology;6
Inference of epidemiological dynamics based on simulated phylogenies using birth-death and coalescent models;6
Virus-induced target cell activation reconciles set-point viral load heritability and within-host evolution;6
Containment of breakthrough HIV plasma viremia in the absence of antiretroviral therapy is associated with a broad and vigorous HIV-specific CTL response [Abstract 256];6
Scientific correspondence;5
Epistasis and pleiotropy affect the modularity of the genotype–phenotype map of cross-resistance in HIV-1;4
A combined within-host and between-hosts modelling framework for the evolution of resistance to antimalarial drugs;4
Developing smarter host mixtures to control plant disease;4
HIV type 2 dynamics;4
the M184V and L90M Mutations in Subjects Undergoing Structured Treatment Interruptions;4
Detection of minor populations of drug-resistant viruses in patients undergoing structured treatment interruptions;4
How good are statistical models at approximating complex fitness landscapes?;3
The Role of Adherence and Retreatment in De Novo Emergence of MDR-TB;3
Cooperation and competition in the evolution of ATP-producing pathways (vol 292, pg 504, 2001);3
Desse, r SS;3
Invasiveness of plant pathogens depends on the spatial scale of host distribution;2
Why there are no essential genes on plasmids;2
The effect of spatial scales on the reproductive fitness of plant pathogens;2
How to develop smarter host mixtures to control plant disease?;2
Ecology and Evolution II: Populations, Theoretical Biology;2
Virus characteristics predict viraemia control after cessation of antiretroviral therapy;2
That’s life;2
Population heterogeneity in mutation rate increases the frequency of higher-order mutants and reduces long-term mutational load;1
Antibiotic Resistance Detection Is Essential For Gonorrhoea Point-Of-Care Testing: A Mathematical Modelling Study;1
Evolution of Recombination on an HIV-1 Derived Fitness Landscape.;1
Compositions and methods for determining epistatic relationships between HIV mutations that affect replication capacity;1
Response to Bandeira and Faro: closing the circle of constraints;1
Varying selection pressure in HIV-1 infection;1
